Front,Back,Left,Right,Command
21.3,57.6,8.16,15.33,back
21.47,134.25,9.84,16.49,back
35.51,54.47,10.4,16.81,back
30.55,140.54,11.99,16.95,back
32.5,52.29,12.51,17.39,back
31.89,140.85,12.82,17.99,back
32.3,91.77,12.67,18.45,back
33.47,121.77,12.99,18.58,back
26.59,113.66,12.97,19.19,back
24.33,137.46,14.03,20.18,right
24.65,131.99,14.6,20.37,right
25.04,128.15,14.91,21.08,right
27.03,129.63,14.96,21.4,right
25.13,129,15.18,21.68,right
25.25,51.32,15.52,21.49,right
24.65,131.16,16.1,22.08,right
24.67,102.34,16.63,22.03,right
24.06,135.01,17.56,22.7,right
23.99,136.14,18.6,22.92,right
23.41,134.86,41.6,20.76,front
23.46,66.96,42.3,21.45,front
23.39,177.5,42.47,27.83,front
23.31,97.89,28.83,26.37,front
23.39,139.5,42.38,23.38,front
22.73,164.7,42.3,25.09,front
22.87,178.02,42.52,61.44,front
22.41,176.75,42.43,62.71,front
22.1,200.18,41.94,61.01,front
21.96,202.03,41.58,60.72,front
21.61,54.38,41.45,71.18,front
21.1,202.18,40.83,78.85,front
20.65,86,23.38,59.33,front
20.03,53.69,22.19,60.95,front
19.55,60.01,22.66,77.89,left
18.89,204.37,21.27,78.3,left
18.11,187.56,39.03,63.38,left
17.6,91.07,38.54,61.37,left
16.98,209.98,38.3,70.58,left
16.69,54.08,38.17,76.41,left
16.49,68.24,37.52,18.63,left
16.34,141.2,36.4,17.31,left
16.23,141.92,31.6,16.9,left
16.23,121.84,27.83,17.6,left
16.61,115.92,26.13,17.99,left
16.76,141.13,24.58,15.73,left
17.31,139.86,23.83,15.56,left
18.02,140.47,17.24,14.81,back
19.13,140.51,15.56,15.33,back
20.31,139.83,14.45,15.4,back
38.93,85.39,13.89,15.62,back
32.45,140.69,13.84,15.18,back
31.37,131.39,13.62,15.47,back
30.67,140.13,13.33,15.78,back
31.47,139.86,13.69,16.37,back
33.52,139.57,13.87,16.44,back
32.23,141.12,14.06,17.44,back
32.4,73.97,14.23,17.03,back
33.63,138.28,14.48,17.03,back
34.66,62.87,15.13,17.73,back
