Front,Back,Left,Right,Command
93.21,49.47,73,91.05,front
92.53,50.24,73.44,90.02,front
94.23,51.37,72.06,79.46,front
93.28,52.55,71.18,89.1,front
89.95,52.38,71.81,64.21,front
92.02,53.74,69.67,68.97,front
92.58,54.09,70.38,74.36,front
91.22,55.17,70.28,72.88,front
87.5,55.88,68.2,66.54,front
91.15,56.37,67.18,85.29,front
87.53,57.78,66.96,74,front
89.23,58.68,65.96,84.2,front
89.44,58.97,66.86,82.84,front
85.92,59.33,64.99,73.87,front
88.25,60.52,66.01,81.99,front
84.35,60.89,63.85,81.41,front
84.42,61.66,64.79,81.06,front
85.58,62.8,63.75,80.53,front
86.02,62.87,61.61,80.39,front
84.39,63.6,61.51,77.89,front
85.34,55.3,60.83,78.2,front
84.1,65.93,60.21,78.25,front
83.52,67.13,59.82,77.79,front
82.94,67.13,60.47,77.15,front
79.78,68.59,58.58,75.43,front
82.3,67.93,58.85,76.86,front
79.44,68.97,56.97,75.46,front
77.49,69.82,57.15,75.21,front
79.13,71.66,55.74,73.61,front
77.5,72.51,56.39,73.42,front
78.2,72.06,54.54,72.88,front
79.08,73.32,54.81,71.94,front
74.78,74.66,53.69,70.82,front
82.86,74.29,52.75,48.62,front
76.87,76.3,52.16,71.16,front
78.59,69.39,52.14,70.38,front
70.45,76.93,52.46,69.75,front
83.13,78.86,50.71,46.84,front
82.64,78.44,50.12,68.8,front
69.75,80.73,49.05,68.32,front
70.28,81.5,49.23,67.73,front
67.93,81.87,47.91,46.12,front
65.7,82.93,47.72,43.69,front
65.38,82.65,46.72,50.24,front
63.5,84.22,46.07,43.95,front
66.45,84.2,46.12,61.44,front
62.36,86.14,45.54,48.89,front
64.29,85.73,46.46,45.83,front
61.3,49.37,46.31,44.86,front
60.93,86.82,45.68,43.18,front
62.42,49.74,43.95,59.43,front
95.93,88.49,43.38,59.96,front
58.07,90.63,41.67,57.65,front
59.45,51.53,40.41,56.93,front
56.93,92.5,39.64,45.19,front
57.26,92.85,38.52,50.18,front
53.09,93.59,37.88,56.22,front
31.65,81.21,36.72,54.74,front
28.25,54.43,37.16,55.17,front
18.09,56.51,36.13,25.45,left
19.46,55.57,36.01,24.67,left
19.8,95.91,35.84,20.52,left
19.74,56.54,35.41,19.02,left
23.41,55.32,34.58,16.83,left
17.9,56.68,34.37,15.61,left
23.58,55.47,33.98,14.52,left
19.58,55.23,34.31,13.02,left
19.82,55.18,36.87,12.41,left
20.18,55.23,94.57,11.46,left
35.16,54.93,1071.92,12.46,left
35.48,55.88,253.81,13.11,left
38.52,56.53,21.3,13.45,left
45.65,56.81,1073.96,17.48,left
51.88,87.92,21.1,20.33,front
54.11,87.79,21.08,35.94,front
54.28,89.01,18.77,33.17,right
199.33,88.91,18.68,33.18,right
1076.24,89.59,165.6,32.33,front
239.87,88.72,22.56,28.1,front
199.48,89,19.06,29.8,right
231.17,89.23,114.5,26.54,front
1078.11,91.2,165.33,27.01,front
50.59,90.42,33.86,28.66,front
51.43,90.75,165.04,30.29,front
50.24,91.1,33.93,30.01,front
53.01,90.49,164.1,29.97,front
249.29,92.58,162.86,29.51,front
111.71,87.7,34.83,28.99,front
113.66,82.02,162.45,28.73,front
111.59,82.93,163.68,27.86,front
109.43,83.01,162.11,27.69,front
99.52,83.67,161.57,27.3,front
107.83,84.29,161.53,27.05,front
106.37,82.96,159.63,27.98,front
96.36,59.11,158.47,26.37,front
105.71,84.88,157.61,25.91,front
94.57,85.03,155.99,25.74,front
80.94,95.17,157.1,25.69,front
91.58,94.06,155.04,24.46,front
102.65,73.29,154.63,24.48,front
55.66,102.09,154.85,23.24,front
27.59,102.77,154.53,22.83,front
38.3,99.74,66.45,22.87,front
73.87,86.94,12.77,22.12,right
14.76,104.91,64.94,21.83,left
0.83,0.83,10.85,14.84,stop
7.57,77.25,8.53,15.06,back
7.68,82.35,6.83,15.06,back
6.27,85.03,6.77,12.95,back
6.66,84.03,6.56,12.63,back
6.7,86.09,6.09,12.92,back
7.51,84.06,5.75,13.94,back
6.97,81.31,5.81,12.44,back
7.12,83.25,6.53,11.82,back
7.74,81.5,7.11,12.9,back
8.42,81.11,6.89,13.62,back
9.3,82.45,8.13,15.2,back
10.1,80.16,8.77,15.81,back
10.85,85.39,9.55,17.66,back
11.34,81.89,10.69,17.17,back
12.33,78.64,11.1,17.2,back
13.41,80.78,12.39,20.26,right
14.25,100.57,17.77,20.77,right
14.2,82.96,12.27,20.94,right
15.16,74.51,11.73,20.16,right
14.6,79.29,11.44,21.18,right
14.45,68.61,10.98,22.88,right
14.35,67.29,11.17,25.81,right
14.52,68.1,11.44,24.97,right
14.42,65.86,12.24,28.9,right
14.62,65.18,13.63,40.9,right
16.08,65.25,13.38,42.52,right
24.33,44.3,12.09,40.55,right
25.4,64.69,11.56,68.66,right
25.89,65.37,11.37,65.52,right
23.58,64.53,13.38,63.38,right
24.68,64.75,11.76,62.44,right
26.96,65.76,11.61,61.29,right
29.32,99.74,20.37,51.6,front
77.61,99.16,23.75,47.33,front
53.74,99.67,24.02,45.75,front
69.14,98.84,24.09,44.37,front
67.64,98.45,25.38,41.31,front
65.25,99.13,11.82,53.62,right
28.76,100.27,11.82,60.93,right
64.21,100.73,14.48,60.89,right
64.07,101.56,16.47,66.71,right
62.49,102.14,17.09,77.84,right
62.39,35.41,17.73,77.89,right
28.17,104.84,14.11,65.09,right
26.96,106.37,14.48,68.46,right
26.2,168.9,14.54,72,right
27.18,120.41,15.25,68.03,right
29.94,164.12,15.45,66.5,right
30.33,163.81,16.01,63.53,right
31.23,162.45,16.23,61.44,right
61.9,163.4,15.56,60.89,right
81.74,166.97,14.84,60.15,right
81.72,156.35,15.06,57.66,right
74.51,178.33,14.06,58.29,right
77.84,267.77,15.18,54.01,right
66.78,179.91,24.39,45.93,front
66.37,587.81,21.74,47.75,front
64.23,124.76,22.76,58.07,front
63.75,120.07,22.8,46.39,front
63.33,45.59,24.41,34.32,front
62.54,99.3,16.05,31.37,right
62.25,48.31,16.17,20.65,right
61.42,46.55,16.17,18.99,back
60.95,46.6,17.17,18.77,back
61.06,45.12,17.83,15.83,back
60.59,45,18.84,16.4,back
60.66,44.47,19.67,13.69,back
61.18,44.25,21.2,13.74,left
30.09,44.8,22.08,14.54,left
25.72,44.12,24.97,15.1,left
25.77,44.47,33.12,15.47,left
24.97,44.1,35.67,15.59,left
26.01,44.57,33.83,33.1,front
26.69,47.04,64.29,32.95,front
30.41,46.48,63.51,28.95,front
31.91,372.2,63.43,25.53,front
30.38,131.05,62.9,24.9,front
30.33,128.55,62.61,24.11,front
34.29,107.8,62.42,22.59,front
24.11,48.03,60.79,20.67,front
20.82,185.74,60.89,17.48,left
19.26,128.49,60.21,16.3,left
18.28,128.42,59.87,15.39,left
16.9,231.23,59.86,15.13,left
18.17,166.55,59.36,15.1,left
73.1,381.77,57.82,16.68,left
85.29,223.98,56.42,17.63,left
70.67,243.53,55.08,16.75,left
25.31,679.29,54.57,16.27,left
68.39,24.19,55.22,16.17,left
62.58,209.51,62.29,15.76,left
61.93,103.84,58.96,15.69,left
54.72,1079.42,101.49,15.74,left
52.82,303.5,102.31,15.95,left
52.65,275.08,137.58,15.4,left
53.57,104.72,135.69,15.23,left
57.97,77.89,50.9,14.55,left
58.09,101.58,25.82,14.6,left
57.55,100.1,46.48,13.99,left
58,100.62,45.71,14.81,left
60.61,78.61,44.69,14.38,left
63.43,101.24,43.3,17.17,left
104.86,100.22,42.74,18.28,left
102.77,102.09,42.69,56.42,front
26.76,64.46,42.4,59.79,front
96.88,61.59,42.45,65.52,front
44.97,61.35,42.69,60.52,front
44.44,61.54,42.79,21.17,front
43.52,62.19,42.86,20.3,front
42.98,62.14,42.86,53.75,front
24.82,56.81,43.5,51.66,front
25.09,55.95,42.65,16.61,left
24.38,58.23,41.04,16.52,left
40.82,42.36,43.1,65.74,front
40.48,41.6,1071.7,66.64,front
39.05,44.86,99.48,64.04,front
38.25,42.96,1074.04,15.78,left
37.03,46.9,98.16,14.77,left
9.81,68.26,95.85,15.2,left
7.7,68.32,1073.33,14.82,left
10.66,69.56,171.73,13.16,left
11.17,69.45,92.8,11.83,left
12.17,72.59,93.31,10.95,left
12.39,73.81,167.26,9.74,left
14.09,96.13,166.63,8.98,left
14.71,98.19,164.17,8.48,left
16.03,74.56,164.95,7.55,left
16.61,97.12,162.98,7.8,left
17.51,72.95,162.28,8.64,left
17.9,97.87,162.06,8.96,left
17.26,63.68,167.82,8.74,left
16.95,62,165.95,8.64,left
14.71,60.04,33.18,8.91,left
13.52,59.28,29.6,10.25,left
10.98,59.3,28.7,13.77,left
9.18,59.5,31.23,27.03,left
7.63,59.47,86.05,14.11,left
5.63,60.67,70.82,20.25,left
169.98,53.38,23.48,18.87,left
29.89,122.43,21.62,34.19,front
39.29,148.61,67.06,38.17,front
94.64,170.1,25.13,56.25,front
98.94,108.34,23.87,166.02,front
84.56,41.96,65.37,165.61,front
86.05,104.74,64.4,28.19,front
82.14,163.34,63.92,25.26,front
70.72,110.5,63.1,24.11,front
70.75,172.45,63.33,25.65,front
68.68,43.27,62.9,160.77,front
68,165.17,62.78,163,front
64.87,42.6,61.39,23.39,front
64.72,23.6,62.24,21.79,front
64.99,138.26,61.46,24.39,front
63.82,45.03,60.16,21.81,front
62.44,46.36,59.94,20.98,front
62.58,45.68,59.04,21.27,front
21.13,27.05,58.8,45.53,front
23.58,26.95,58.6,22.92,front
41.58,27.61,58.43,47.29,front
28.95,28.37,57.04,22.53,front
26.66,28.61,57.17,63.58,front
24.53,50.44,56.61,44.34,front
26.83,49.45,56.61,30.06,front
55.54,33.18,55.54,44.22,front
54.88,33.51,55.68,27.17,front
32.98,33.46,54.66,27.03,front
39.68,52.53,53.6,28.87,front
38.83,35.36,52.8,28.12,front
51.9,54.74,53.33,29.38,front
50.76,54.38,52.53,30.91,front
50.01,55.37,92.24,24.22,front
49.25,57.38,51.88,32.59,front
48.5,57.58,94.03,38.32,front
19.77,58.29,50.17,22.66,left
18.53,59.64,92.12,18.94,left
18.6,59.14,92.5,17.53,left
21.32,59.96,31.18,16.46,left
43.67,60.47,28.12,16.59,left
21.34,36.75,84.58,15.13,left
17.87,61.44,90.36,14.18,left
18.24,62.14,88.25,14.11,left
15.74,62.07,80.31,13.28,left
13.99,63.02,73.78,12.44,left
13.33,62.78,63.36,10.78,left
12.7,63.21,74.1,9.69,left
11.02,57.02,69.53,7.96,left
10.18,507.93,67.95,6.1,left
9.04,63.29,66.78,5.42,left
9.61,363.41,65.4,4.85,left
12.89,174.2,64.94,6.12,left
10.2,428.77,63.65,20.82,left
70.01,313.57,63.61,37.66,front
65.4,148.58,65.43,20.94,front
65.6,257.24,65.23,50.1,front
64.18,156.28,66.01,54.11,front
63.16,166.92,70.7,59.74,front
63.07,86.92,70.96,57.9,front
61.9,259.86,72,53.26,front
61.47,91.24,70.43,62.07,front
61.46,161.47,70.24,57.97,front
60.38,69.63,89.45,60.66,front
60.23,143.84,69.16,57.07,front
59.6,161.6,88.08,58.21,front
58.85,78.81,68.65,57.26,front
58.31,163.17,86.31,58.5,front
57.61,92.63,85.37,58.67,front
57.1,94.21,85.71,63.75,front
56.51,93.08,85.15,35.89,front
55.83,80.5,84.8,58.04,front
55.35,93.93,84.8,55.44,front
54.45,93.25,83.42,63.75,front
53.38,94.1,83.73,62.58,front
52.8,95.78,121.94,56.59,front
52.51,94.81,82.38,60.08,front
51.44,95.71,82.64,58.38,front
50.88,96.29,66.45,61.66,front
50.51,98.74,57.61,55.96,front
49.59,98.55,56.97,54.79,front
48.18,97.6,59.59,54.67,front
48.6,90.49,57.65,56.97,front
47.91,100.08,56.39,49.61,front
47.23,100.73,54.93,55.71,front
46.51,92.58,54.25,58.68,front
45.88,100.52,54.15,48.18,front
43.18,100.98,53.33,45.68,front
32.08,82.65,52.96,37.18,front
32.76,103.22,22.1,44.12,front
26.59,104.23,20.69,30.23,front
22.12,103.79,18.68,54.43,right
17.41,105.91,17.09,22.9,right
13.35,82.72,14.82,20.45,right
11.92,107.13,13.09,18.8,back
11.61,106.71,12.89,17.7,back
11.99,107.73,14.91,19.26,back
11.54,107.76,14.33,18.26,back
9.81,107.37,14.65,17.6,back
11.56,107.24,14.76,18.19,back
10.97,107.78,14.23,20.26,right
11.73,105.55,14.11,19.65,back
12.26,106.3,14.98,19.77,back
13.4,107.22,17.7,22.12,right
13.82,105.91,21.73,22.59,left
13.77,106.79,17.75,21.98,right
14.45,107.07,17.12,21.81,right
14.04,91.29,17.44,21.85,right
14.94,93.55,16.85,22.3,right
15.16,92.67,17.09,22.3,right
16.61,88.52,17.8,25.3,right
76.6,91.14,16.27,50.01,right
30.46,28.68,16.85,47.82,right
57.51,184.88,15.67,49.83,right
31.48,68.07,15.32,47.69,right
23.9,183.96,17.95,43.67,right
24.84,94.57,17.9,41.23,right
24.06,357.66,20.4,37.54,front
27.12,172.24,19.11,38.32,right
63.58,57.87,18.73,39.51,right
50.75,206.16,26.89,32.3,front
49.03,177.34,1072.41,45.88,front
46.61,585.11,15.49,44.17,right
46.17,211.67,18.04,54.94,right
45.05,1080.62,9.27,15.27,back
19.62,61.37,12.68,13.31,back
18.89,60.04,8.76,14.3,back
19.13,62.71,8.55,14.16,back
18.45,61.88,8.69,53.75,right
19.62,56.64,12.09,49.33,right
19.77,55.74,9.96,54.45,right
19.74,56.97,10.97,53.65,right
21.69,57.17,12.1,54.18,right
21.25,54.72,15.62,101.81,right
25.04,55.81,19.33,101.27,right
25.89,54.76,19.94,62.93,right
24.6,54.01,23.55,101.15,front
25.74,202.67,16.63,16.47,back
26.44,56.15,14.45,15.47,back
24.7,55.64,13.62,15.62,back
24.33,55.18,12.31,16.34,back
22.73,55.05,11.97,18.75,back
22.39,54.66,13.41,17.02,back
22.54,54.37,12.09,104.09,right
21.68,55.25,10.06,32.66,right
21.05,55.39,9.76,49.39,right
19.84,55.45,9.67,30.82,right
20.98,54.94,10.17,28.82,right
21.9,55.93,10.68,184.59,right
22.47,56.08,12.05,119.61,right
21.74,96.8,13.58,183.28,right
23.7,56.51,20.4,182.95,front
21.03,52.14,13.89,183.48,right
19.62,52.31,16.66,184.13,right
21.13,50.8,15.52,81.29,right
23.83,44.9,15.3,912.27,right
19.8,45.36,12.97,32.59,right
28.37,44.12,11.97,33.34,right
19.6,43.96,10.39,23.39,right
24.11,45.17,8.81,21.68,right
14.45,44.12,7.6,20.84,right
12.6,43.3,6.32,19.3,back
14.65,44.59,6.46,15.06,back
70.11,45.73,21.98,30.12,front
4.34,45.73,21.01,14.06,left
2.92,45.31,18.75,13.62,back
48.65,46.46,18.8,13.69,back
40.05,45.44,22.87,13.84,left
40.39,46.38,61.32,13.7,left
45.39,44.61,69.38,13.94,left
58.65,43.89,74.36,14.94,left
44.51,45.76,73.68,19.67,left
49.9,42.69,103.8,16.47,left
46.6,43.1,88.08,18.33,left
50.68,43.18,104.02,63.14,front
80.87,41.82,103.9,31.3,front
183.33,42.11,103.5,20.45,front
183.7,44.76,104.23,49.66,front
183.35,52.22,102.48,52.89,front
111.55,45.24,102.14,45.9,front
104.65,44.88,102.56,47.58,front
108.55,44.29,101.8,37.55,front
108.66,45.46,101.64,38.79,front
104.38,45.17,100.37,33.17,front
178.64,46.19,100.62,34.7,front
85.71,47.11,98.99,28.12,front
72.08,47.65,98.45,31.65,front
96.71,47.91,98.36,37.89,front
173.62,48.98,95.91,26.69,front
63.72,49.93,79.8,29.6,front
65.57,50.47,89.06,28.25,front
53.3,50.39,86.89,43.69,front
49.16,51.39,95.2,39.73,front
55.52,51.31,67.39,40.9,front
17.8,51.9,53.53,908.77,left
12.56,53.62,14.94,915.65,right
8.31,0.82,81.24,13.35,left
6.9,57.58,8.25,13.77,back
6.39,56.53,6.75,13.45,back
5.54,56.3,8.6,13.58,back
4,63,6.61,10.37,back
2.45,57.8,4.59,5.98,back
2.28,63.29,4.54,3.03,back
2.6,63.85,4.74,2.57,back
2.98,62.8,4.9,2.96,back
3.09,58.36,5.39,2.84,back
2.74,57.72,6.19,2.55,back
2.21,63.04,6.41,4.1,back
2.06,56.08,7.55,2.38,back
2.38,59.67,8.25,3.88,back
2.77,59.93,8.99,48.09,right
2.96,60.86,9.67,3.25,back
2.82,57.61,9.74,6.19,back
2.84,56.9,10.61,6.82,back
3.59,56.66,10.81,6.41,back
3.83,52.46,11.49,5.95,back
4.17,51.53,12.7,6.63,back
4.54,50.59,12.89,6.24,back
5.37,51.15,13.6,7.34,back
5.76,49.81,14.03,6.53,back
6.12,46.89,14.55,8.77,back
6.6,47.11,15.9,8.77,back
6.92,46.78,15.67,10.56,back
7.19,44.57,16.23,11.66,back
7.74,43.88,17.34,12.56,back
8.38,44.34,17.68,13.45,back
8.87,39.9,17.68,14.09,back
8.64,39.12,17.12,13.67,back
8.55,40.46,17.09,13.58,back
8.23,39.29,17.88,14.13,back
9.2,41.38,18.41,14.13,back
9.03,37.11,18.53,15.01,back
9.55,36.91,19.33,14.76,back
9.03,36.19,18.46,15.3,back
9.06,35.48,18.84,14.81,back
8.91,35.55,18.45,16.12,back
9.66,33.25,19.45,15.76,back
9.04,32.62,19.6,15.1,back
9.13,33.81,19.87,14.91,back
9.1,34.61,19.3,15.23,back
9.62,34.6,19.84,15.69,back
9.45,34.34,20.52,14.35,left
9.4,41.51,21.13,16.39,left
10.13,55.9,22.63,17.27,left
10.12,95.22,23.38,14.81,left
10.78,80.72,24.22,10.39,left
9.71,83.91,26.01,9.62,left
9.95,76.47,27.63,9.1,left
10.01,82.42,54.09,8.53,left
11.05,83.38,53.87,7.46,left
28.59,83.61,53.96,7.12,left
23.95,97.09,53.24,6.49,left
19.46,77.5,52.97,6.56,left
17.95,158.61,52.68,6.95,left
21.4,95.74,52.89,7.63,left
23.97,53.52,52.87,8.04,left
27.18,44.37,53.6,8.96,left
27.25,46.95,53.3,9.96,left
29.84,43.95,68.46,10.76,left
53.14,45.46,61.25,10.81,left
52.65,44.18,61.06,16.25,left
52.67,44.9,62.9,14.06,left
52.82,46.17,62.88,20.25,front
53.04,46.12,33.98,22.66,front
51.88,36.23,30.16,14.82,left
54.16,35.31,29.48,15.11,left
49.5,35.55,28.39,15.33,left
47.5,39.25,27.37,14.81,left
42.33,193.77,26.37,20.72,front
43.3,989.01,24.94,41.8,front
63.22,822,23.9,53.75,front
62.93,156.96,23.82,51,front
62.68,62.32,22.97,43.76,front
62.78,369.02,22.39,41.53,front
62.29,394.72,20.11,43.57,front
62.08,388.88,20.04,42.38,front
60.83,89.56,20.72,43.23,front
61.22,342.19,19.82,49.95,right
59.81,80.99,18.94,41.8,right
61.15,469.83,18.82,52.67,right
59.31,84.15,17.77,48.96,right
59.31,286.09,17.82,37.91,right
59.14,848.06,17.82,39.59,right
56.93,86.6,17.77,39.75,right
53.89,83.01,17.77,48.04,right
54.25,309.79,18.48,47.11,right
52.82,45.73,18.39,48.04,right
51.26,44.97,19.11,38.34,right
36.62,44.47,19.35,39.53,right
38.32,46.04,19.89,48.57,right
38.17,43.79,21.4,47.53,front
48.03,45.12,22.59,44.9,front
37.83,54.16,23.9,50.22,front
37.62,52.5,86.02,57.31,front
39.24,215.66,113.44,53.11,front
45.93,53.75,118.15,65.04,front
44.95,54.72,138.01,49.08,front
45,54.09,118.83,64.02,front
43.67,53.81,57.36,65.81,front
43.54,54.59,74.49,53.31,front
42.91,54.76,56.44,46.61,front
42.72,55.57,52.82,47.75,front
41.36,55.51,51.65,48.54,front
41.12,57.95,51.46,49.76,front
40.6,58.31,50.54,45.51,front
39.87,59.64,68.1,31.81,front
39.61,60.01,49.44,51.83,front
39.22,58.29,48.08,50.66,front
37.89,60.88,47.89,50.93,front
37.5,61.93,46.9,53.4,front
37.25,61.08,46.78,50.25,front
36.82,64.11,46.16,50.8,front
36.23,63.61,45.71,51.8,front
35.48,63.51,44.64,52.46,front
34.87,63.85,43.74,50.97,front
34.19,64.92,42.76,50.24,front
33.81,65.99,42.01,50.88,front
32.73,67.06,42.5,53.04,front
32.03,67.39,41.96,52.04,front
30.96,67.64,41.04,52.26,front
29.95,67.29,40.89,53.36,front
29.58,68.26,40.05,41.91,front
28.58,70.23,39.81,52.82,front
27.8,71.23,39.37,53.62,front
27.12,64.28,38.96,54.96,front
26.33,72.61,37.6,55.71,front
25.72,72.52,38.15,53.45,front
24.97,74.73,38.18,52.65,front
24.38,75.45,36.84,53.4,front
23.58,73.59,36.13,53.24,front
22.98,76.47,35.96,53.09,front
22.27,77.95,35.58,51.02,front
21.81,75.23,35.9,52.58,front
21.18,76.79,35.48,52.68,front
20.38,62.59,34.73,53.01,front
20.16,65.14,34.66,50.95,front
18.94,80.43,37.55,47.5,left
18.34,260.78,33.95,49.16,left
17.31,80.89,32.62,49.32,left
16.88,81.74,33.39,49.86,left
16.88,82.54,32.18,50.32,left
16.23,82.5,31.67,50.25,left
16.46,84.68,31.76,52.43,left
15.96,72.68,29.87,53.75,left
15.84,71.3,36.81,41.58,left
15.84,84.95,25.09,16.52,left
16.3,73.95,23.32,15.9,left
16.8,74.53,21.91,15.42,left
16.98,37.2,20.81,14.65,left
18.09,36.11,19.65,14.55,back
19.67,36.07,19.09,14.31,back
32.83,36.09,18.34,14.88,back
32.05,36.62,18.09,14.4,back
32.5,37.32,18.02,15.4,back
31.89,37.4,18.09,15.73,back
32.11,39.46,18.05,15.23,back
32.01,38.4,18.22,15.52,back
32.76,67.93,18.58,15.9,back
32.76,75.82,18.84,16.18,back
33.25,72,19.06,16.97,back
32.91,75.82,19.48,16.9,back
33.47,56.02,19.75,17.27,back
33.24,71.6,20.23,17.63,left
34.97,77.86,20.6,18.04,left
35.89,58.65,20.88,18.75,left
35.94,85.78,20.84,19.35,left
34.65,75.28,21.32,20.13,front
36.91,56.68,21.27,20.26,front
27.51,59.36,21.11,20.55,front
25.74,73.68,21.01,20.52,front
25.02,43.11,20.76,20.26,front
25.06,43.57,20.54,20.47,front
27.03,44.97,20.11,20.82,front
36.38,46.43,19.94,20.38,right
23.46,48.5,19.31,20.26,right
36.81,49.1,19.09,20.26,right
33.37,49.73,18.99,19.65,back
33.08,50.59,18.9,19.65,back
34.39,62.53,18.89,18.96,back
34.05,89.42,19.04,19.16,back
34.17,90.22,19.18,19.24,back
34.32,81.52,19.3,19.26,back
34.22,131.58,19.55,19.06,back
34.54,59.82,19.91,19.16,back
35.29,88.93,20.18,20.13,front
36.18,706.11,20.6,20.16,front
35.04,59.74,20.65,20.23,front
34.82,57.68,20.59,19.7,left
26.88,56.78,20.13,20.52,front
28.41,60.64,20.52,20.18,front
26.16,58.43,20.26,19.74,left
25.89,59.82,19.89,20.55,right
26.01,60.79,19.82,20.26,right
25.02,60.93,19.62,20.31,right
27.34,59.47,19.67,20.33,right
33.54,61.01,19.82,20.01,right
34.29,125.02,19.75,19.02,back
34.02,305.61,19.6,18.67,back
33.81,633.45,20.11,18.58,left
34.9,365.53,20.45,18.82,left
34.82,73.8,20.88,19.18,left
34.97,697.53,20.94,20.18,front
36.11,83.45,20.37,20.37,front
28.51,57.95,20.67,20.59,front
26.4,59.08,20.67,20.91,front
27.9,58.97,20.47,20.76,front
35.58,759.19,19.97,21.05,right
24.38,61.97,19.67,21.45,right
23.83,60.03,19.6,21.11,right
23.94,60.79,19.7,21.34,right
23.9,61.73,19.24,20.81,right
34.82,61.46,19.23,20.72,right
26.76,60.79,19.09,20.11,right
34.61,59.76,19.11,19.58,back
34.37,83.35,18.7,19.16,back
34.66,82.6,19.09,18.62,back
34.7,84.78,19.04,18.94,back
34.8,83.08,19.16,18.96,back
35.12,82.65,19.82,19.02,back
34.6,81.29,19.75,18.96,back
35.09,75.82,20.4,19.09,left
35.05,79.63,20.82,19.84,left
35.89,58.24,20.94,20.09,front
36.18,78.29,21.13,20.54,front
35.31,75.94,20.69,20.65,front
31.81,70.63,20.88,20.65,front
34.73,68.31,20.81,20.59,front
33.34,64.65,20.67,20.11,front
33.1,60.1,20.06,20.03,front
33.97,57.17,20.04,20.26,front
33.22,57.44,19.8,19.96,back
33.22,78.25,19.45,19.45,back
32.91,75.28,19.26,19.4,back
33.98,69.68,19.13,19.55,back
34.87,70.04,18.96,19.62,back
34.6,80.51,19.45,19.58,back
33.98,69.87,19.58,20.13,right
35.11,67.18,19.84,20.13,right
34.82,65.65,20.01,20.13,front
35.36,185.33,20.31,19.77,left
35.19,86.94,20.09,19.74,left
34.82,307.09,19.89,19.46,back
35.68,461.28,19.91,20.37,right
35.41,442.09,20.01,20.2,front
35.84,43.44,20.13,19.6,left
35.58,106.2,20.42,20.33,front
35.82,394.67,19.94,20.26,right
35.41,762.25,20.04,19.3,left
34.39,74.56,20.01,19.11,left
35.24,352.85,20.52,19.55,left
35,63.17,20.03,19.74,left
35.29,74.87,19.97,19.87,back
35.65,76.36,20.03,20.3,front
35.84,54.54,20.4,19.77,left
36.3,424.51,20.03,20.26,front
35.68,273.89,20.2,20.6,front
27.97,176.24,20.09,20.76,front
26.18,187.77,19.97,20.74,right
26.01,147.76,19.75,20.59,right
26.2,62.59,19.6,20.6,right
35.41,122.91,19.48,20.33,right
34.17,213.55,19.04,20.06,right
35.45,41.43,19.18,19.67,back
34.51,77.79,19.67,19.48,back
35.41,212.96,19.67,20.26,right
35.24,775.52,20.47,19.6,left
35.97,107.64,20.69,19.52,left
35.29,75.17,20.77,19.45,left
35.72,74.32,21.32,19.19,left
34.97,76.64,20.98,19.26,left
35.89,77.09,21.27,19.31,left
36.01,75.04,21.2,19.53,left
35.73,73.59,20.62,19.75,left
36.13,75.43,20.6,20.11,front
36.33,368.25,20.26,21.11,front
36.74,213.04,20.42,21.23,front
38.08,212.81,20.25,21.47,front
38.01,117.73,20.03,21.47,front
35.46,304.66,19.53,21.25,right
27.2,64.65,19.31,21.23,right
25.4,213.32,18.96,21.3,right
33.97,285.84,18.73,20.52,right
34.17,212.69,18.6,20.26,right
35.24,85.34,18.68,20.25,right
33.95,60.61,18.31,19.11,back
34.46,75.67,18.99,18.63,back
34.12,75.14,18.84,18.41,back
34.17,78.29,19.11,18.28,back
34.51,911.49,20.23,18.96,left
35.31,74,20.01,19.02,left
35.48,76.43,20.54,19.13,left
35.84,70.53,20.3,19.62,left
36.02,72.88,20.3,19.45,left
35.77,69.56,20.6,20.23,front
35.11,70.94,20.25,19.74,left
36.38,69.45,20.18,20.23,front
35.9,350.25,20.2,20.37,front
35.87,212.94,19.65,20.65,right
35.26,215.1,19.53,20.38,right
34.39,290.48,19.7,20.47,right
34.6,450.5,19.8,19.82,back
35.55,1078.82,20.38,19.7,left
35.51,56.12,19.97,19.69,back
35.31,56.46,20.13,20.13,front
0.82,74.49,20.25,19.74,left
34.32,82.16,20.65,19.87,left
35.96,413.29,20.37,20.06,front
34.94,216.16,20.3,20.55,front
35.77,61.35,20.09,20.81,front
36.04,472.87,20.25,20.72,front
36.55,183.77,19.94,20.42,right
35.22,769,19.67,20.74,right
35.68,215.1,19.11,20.16,right
35.51,327.61,19.4,20.4,right
35.04,225.32,19.23,20.04,right
34.46,474.91,19.58,19.48,back
35.19,897.7,20.2,19.23,left
34.97,903.94,20.65,19.38,left
36.19,90.85,20.42,19.55,left
35.09,497.73,20.42,20.26,front
35.58,179.64,20.25,20.45,front
35.62,580.74,20.06,20.54,front
35.22,632.64,19.53,20.38,right
35.26,474.5,19.31,20.11,right
34.51,374.34,19.19,20.38,right
35.04,106.98,18.94,19.45,back
34.6,483.06,19.35,19.55,back
34.53,849.93,19.77,19.24,back
35.04,815.27,20.38,19.62,left
35.41,190.23,20.52,20.2,front
35.6,424.29,20.81,19.89,left
36.38,83.16,21.01,20.55,front
36.02,504.7,20.59,20.26,front
35.77,66.18,20.37,20.11,front
35.39,626.13,20.2,20.31,front
